Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(568.609375, 327.98046875),2025-02-21 22:02:52
Mouse,(Move),Moved,(568.8984375, 327.6875),2025-02-21 22:02:52
Mouse,(Move),Moved,(569.1875, 327.39453125),2025-02-21 22:02:52
Mouse,(Move),Moved,(569.9375, 327.015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(570.6875, 326.63671875),2025-02-21 22:02:52
Mouse,(Move),Moved,(571.4375, 326.2578125),2025-02-21 22:02:52
Mouse,(Move),Moved,(572.1875, 325.87890625),2025-02-21 22:02:52
Mouse,(Move),Moved,(572.9375, 325.5),2025-02-21 22:02:52
Mouse,(Move),Moved,(574.31640625, 325.0390625),2025-02-21 22:02:52
Mouse,(Move),Moved,(574.60546875, 325.0390625),2025-02-21 22:02:52
Mouse,(Move),Moved,(575.35546875, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(575.64453125, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(575.93359375, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(576.22265625, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(576.51171875, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(576.80078125, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(577.03515625, 324.66015625),2025-02-21 22:02:52
Mouse,(Move),Moved,(577.25, 324.2265625),2025-02-21 22:02:53
Mouse,(Move),Moved,(578, 324.2265625),2025-02-21 22:02:53
Mouse,(Move),Moved,(578.75, 323.84765625),2025-02-21 22:02:53
Mouse,(Move),Moved,(580.12890625, 322.92578125),2025-02-21 22:02:53
Mouse,(Move),Moved,(581.5078125, 322.46484375),2025-02-21 22:02:53
Mouse,(Move),Moved,(582.88671875, 322.00390625),2025-02-21 22:02:53
Mouse,(Move),Moved,(584.265625, 321.54296875),2025-02-21 22:02:53
Mouse,(Move),Moved,(585.01171875, 321.16796875),2025-02-21 22:02:53
Mouse,(Move),Moved,(585.76171875, 320.7890625),2025-02-21 22:02:53
Mouse,(Move),Moved,(586.51171875, 320.7890625),2025-02-21 22:02:53
Mouse,(Move),Moved,(586.80078125, 320.7890625),2025-02-21 22:02:53
Mouse,(Move),Moved,(587.08984375, 320.49609375),2025-02-21 22:02:53
Mouse,(Move),Moved,(587.37890625, 320.49609375),2025-02-21 22:02:53
Mouse,(Left),Pressed,N/A,2025-02-21 22:02:53
Mouse,(Left),Released,N/A,2025-02-21 22:02:53
